customer_id,subscription_start_date,subscription_end_date,last_login_date,total_spend,customer_support_tickets,churned,age,gender,location
1,2022-12-22,2023-05-13,2023-10-18,2101.356108597633,13,True,55,Female,Suburban
2,2021-05-02,2021-09-19,2023-12-10,1172.6291773784837,5,True,42,Female,Suburban
3,2022-04-27,2023-05-12,2023-10-10,2489.7229448341823,6,False,31,Male,Urban
4,2022-10-10,2023-06-13,2023-07-31,5568.405885148447,3,False,38,Male,Urban
5,2022-10-16,2023-04-06,2023-06-13,2086.5855834285762,12,True,56,Female,Rural
6,2022-09-17,2024-04-03,2023-09-21,6551.970446922633,2,False,55,Female,Urban
7,2021-07-28,2021-12-18,2023-09-03,3151.9426497058257,13,True,46,Female,Suburban
8,2021-11-06,2022-03-19,2023-08-27,130.72623348785933,10,True,65,Male,Suburban
9,2021-10-13,2022-02-05,2023-07-15,897.7676297839313,11,True,42,Male,Suburban
10,2022-02-02,2022-04-23,2023-09-24,397.2447880091576,11,True,57,Female,Rural
11,2022-05-21,2022-11-22,2023-07-18,5679.203457888355,0,False,22,Female,Rural
12,2021-10-31,2022-07-26,2023-08-08,3695.66642421692,7,False,54,Female,Suburban
13,2022-01-02,2023-07-06,2023-06-01,4819.726130175848,0,False,51,Male,Urban
14,2021-10-29,2023-07-28,2023-10-12,5321.217223221386,0,False,19,Male,Urban
15,2022-09-21,2023-12-20,2023-09-08,224.86690786707015,2,False,45,Female,Suburban
16,2022-10-19,2023-10-25,2023-08-10,5023.922380214103,0,False,36,Female,Rural
17,2021-09-13,2021-12-01,2023-12-01,4214.022691113146,2,True,67,Male,Urban
18,2022-12-30,2023-09-01,2023-06-20,1467.3079669633605,6,False,59,Female,Rural
19,2021-06-26,2021-08-10,2023-12-01,3238.157674675109,5,True,56,Male,Urban
20,2022-02-08,2022-04-19,2023-12-06,1046.239818313493,7,True,29,Female,Suburban
21,2022-12-31,2023-05-10,2023-10-05,1273.218798327759,9,True,46,Male,Rural
22,2022-06-04,2022-08-23,2023-11-26,2891.505278029372,13,True,47,Female,Rural
23,2022-10-29,2023-02-20,2023-09-15,2972.167981842602,10,True,68,Male,Rural
24,2021-07-23,2021-10-01,2023-06-24,405.3280070095635,10,True,53,Female,Urban
25,2021-03-07,2021-07-01,2023-08-16,850.2279882054382,5,True,23,Female,Rural
26,2021-08-17,2022-02-21,2023-06-13,1800.8180226832737,0,False,42,Male,Urban
27,2022-01-12,2023-03-04,2023-12-21,1482.5509612930587,3,False,65,Male,Rural
28,2022-07-28,2024-02-22,2023-08-28,6794.214948858034,6,False,26,Male,Suburban
29,2021-08-31,2021-12-27,2023-08-29,3711.90456393356,7,True,69,Female,Suburban
30,2022-11-05,2024-04-16,2023-06-09,448.9133779069653,2,False,59,Male,Suburban
31,2021-06-05,2023-04-04,2023-08-08,1884.5314267181425,7,False,31,Female,Suburban
32,2022-06-08,2024-05-25,2023-09-20,6183.027320598834,0,False,19,Female,Rural
33,2022-10-19,2023-01-18,2023-10-14,2334.2872197260845,11,True,54,Male,Suburban
34,2021-03-22,2023-02-12,2023-08-06,747.9752439083438,4,False,25,Male,Suburban
35,2022-10-18,2024-09-18,2023-11-05,4777.303634762357,1,False,57,Female,Suburban
36,2022-01-01,2023-03-21,2023-09-15,574.0125931227277,5,False,25,Female,Rural
37,2021-04-21,2021-11-30,2023-07-11,1054.3778483442695,8,False,42,Male,Rural
38,2022-09-13,2022-11-29,2023-07-31,3453.0992007202753,11,True,34,Female,Suburban
39,2021-05-04,2021-08-30,2023-10-15,407.618736758215,2,True,69,Male,Rural
40,2022-04-07,2023-12-08,2023-10-28,4005.914951165621,8,False,30,Male,Urban
41,2022-07-26,2023-01-29,2023-11-09,3767.0596520085783,4,False,63,Male,Rural
42,2021-09-04,2022-12-13,2023-09-22,4716.664349446317,9,False,49,Male,Rural
43,2022-02-12,2022-05-22,2023-11-17,1649.4216017083434,8,True,61,Female,Rural
44,2022-02-08,2022-07-19,2023-06-15,1985.8667868183193,5,True,46,Male,Rural
45,2022-10-13,2023-05-01,2023-06-08,2615.6820540185745,0,False,25,Male,Suburban
46,2021-06-26,2022-11-01,2023-10-14,5328.750244875282,4,False,61,Male,Suburban
47,2021-05-25,2021-12-22,2023-12-21,4489.198071540617,7,False,21,Female,Rural
48,2022-06-18,2024-03-20,2023-11-17,3639.5618235245515,4,False,27,Female,Urban
49,2021-08-07,2023-07-05,2023-11-09,839.9687915518002,6,False,69,Female,Suburban
50,2021-08-12,2021-10-10,2023-06-25,3555.9423916575383,13,True,60,Female,Urban
51,2022-11-01,2024-01-19,2023-09-17,2650.444256542687,7,False,19,Female,Urban
52,2022-01-10,2023-09-06,2023-11-29,3240.7984677060685,4,False,46,Female,Urban
53,2022-04-19,2023-12-09,2023-07-27,2209.9809688341534,0,False,52,Female,Suburban
54,2022-09-24,2023-02-09,2023-10-15,4165.302657092792,4,True,32,Male,Urban
55,2021-05-23,2022-12-13,2023-08-05,4745.829162803299,4,False,58,Male,Rural
56,2022-02-07,2023-05-18,2023-06-04,4860.486685504488,2,False,55,Male,Suburban
57,2021-04-13,2021-09-01,2023-07-01,3567.7929452613707,4,True,46,Female,Suburban
58,2021-10-18,2022-02-27,2023-07-11,509.9246254397634,11,True,30,Female,Urban
59,2021-09-12,2023-01-08,2023-08-23,5670.5274979524065,7,False,31,Female,Suburban
60,2021-04-06,2021-06-25,2023-12-10,2357.825469673048,10,True,47,Male,Suburban
